e,e_dot,e_int,time
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
0.0,0.0,0.0,1743726716990794371
-1.2665047927639777e-09,-4.221682642546592e-09,-7.71833724425137e-10,1743726718819055256
2.286144629633511e-06,7.62048209877837e-06,1.4687141901726535e-06,1743726718919187191
9.11643283554339e-06,3.0392331134453845e-05,7.610162279589521e-07,1743726719019299657
7.743679899695824e-06,1.819178423354104e-05,1.2751611504108743e-06,1743726719118990389
-3.857405976294685e-05,-0.00015896830866163415,-1.4468275776495913e-06,1743726719219193427
-9.410310620819108e-05,-0.00033948928702628973,-8.326159571591393e-06,1743726719318924606
-1.6714694464623882e-05,7.286455099440985e-05,-9.954302048469628e-06,1743726719419089901
0.0002437647672099627,0.001126226244727179,8.885634415083081e-06,1743726719519432402
0.00047286179136746373,0.001631921619440292,4.6675727060033675e-05,1743726719619153921
0.00040725951817811986,0.0005449825032271906,7.480320976788101e-05,1743726719719105335
0.0003871553847616127,-0.0002856880220195035,8.457594923513319e-05,1743726719819368956
0.00040903609919146547,5.921936711152026e-06,8.025034696388411e-05,1743726719919155890
0.000277159406731133,-0.0003666532601015989,7.15741078899378e-05,1743726720019417538
0.0002681839149163415,-0.0004695072809170799,6.353130870973766e-05,1743726720118860454
0.00027035653323849744,-2.26762449754519e-05,5.433453789841751e-05,1743726720219250372
0.00027524124044005737,2.3524418412386255e-05,5.44120855060765e-05,1743726720319450193
0.0003566476543494567,0.0002876370703698642,6.010979760829155e-05,1743726720419117711
0.0004105937628306011,0.0004511750746351458,6.943065088077546e-05,1743726720519253951
0.0003668079038164076,3.386749822316964e-05,7.564726990124723e-05,1743726720619234060
0.0005104733427206416,0.0003329319329668016,8.58442441759492e-05,1743726720719221130
0.0005539941299069057,0.000623954086968327,9.524588783836834e-05,1743726720818872556
0.0004647575286717657,-0.00015238604682958626,0.00010174103830541972,1743726720918814463
0.00017142609152539034,-0.0012752267946050512,7.937423835623224e-05,1743726721018945793
-0.0001325702938874387,-0.0019910927418640145,3.363149434016019e-05,1743726721119155633
-0.0004522593213348492,-0.0020789513762007983,-2.7625069814554932e-05,1743726721219416289
-0.0006377878044373427,-0.00168405836849968,-8.153308603058146e-05,1743726721319217610
-0.0007085791596164782,-0.0008543994609387633,-0.00011952986275116768,1743726721418784880
-0.0006723292601663141,-0.000115138185763238,-0.00013469910234980184,1743726721519394983
-0.0006189358250884462,0.00029881111509344016,-0.00013361442829000204,1743726721619222132
-0.0006080702386233332,0.00021419673847660313,-0.00012635155655829253,1743726721718967257
-0.0007812628001848174,-0.0005410899169879041,-0.00013395582422304222,1743726721819328542
-0.0010769151420494984,-0.001562816344753884,-0.00016497589047792844,1743726721919647657
-0.0010306163170182266,-0.0008311783894446972,-0.00019250834042932913,1743726722019247598
-0.0008797385081620406,0.000657255446291526,-0.0001984971399367175,1743726722118990678
-0.0007533489051152651,0.0009242247063432049,-0.0001775164298965959,1743726722219175722
-0.0008278831320411975,0.00017285125373614363,-0.00016422493517279224,1743726722319186006
-0.0006900548809596823,0.0002109800805186093,-0.00015153201840519643,1743726722419324832
-0.0006122001429791275,0.0007189432968735667,-0.0001423653581376102,1743726722519687590
-0.000991233753238701,-0.0010039295742633955,-0.00015283109085436882,1743726722619235674
-0.0011272537157241437,-0.0017168452424833874,-0.00018158761503072192,1743726722719184172
-0.0012626952633274754,-0.0009048717002959145,-0.0002253832504991087,1743726722819210004
-0.0014411541076794054,-0.001046334639850872,-0.00025577289348357253,1743726722919470790
-0.0014660709765754766,-0.0006779190441600041,-0.0002777306824518043,1743726723019020067
-0.0013138536292989966,0.00042433492793469583,-0.0002805917064065592,1743726723118892591
-0.0009796380028575516,0.0016214432457264168,-0.00025078377804484456,1743726723219136786
-0.0006835771134900994,0.002100921719362991,-0.00019864220689013904,1743726723319064865
-0.000489241448641957,0.0016346551807186486,-0.00014332573937316098,1743726723418897945
-0.0006306955193557159,0.0001762719804479449,-0.00012065974030849132,1743726723519772597
-0.0009940437910369825,-0.001682674474650085,-0.00014092193379505784,1743726723618883588
-0.0012886922294912185,-0.002193322367118342,-0.00019373125621754232,1743726723719260301
-0.0009664244759845089,9.206438350824519e-05,-0.00021665705337421074,1743726723818926387
-0.00031031966397768477,0.003261241885045112,-0.00017083259340846678,1743726723919030518
-1.8613522478032945e-05,0.003159369845021586,-8.635987227173885e-05,1743726724018932628
0.00022823314237076776,0.0017951760211615082,-6.7289533386669125e-06,1743726724119495773
0.0004442406469281468,0.0015428472313539323,4.36493261307087e-05,1743726724219201684
0.00046533286382340554,0.0007903324048421259,7.570212128090886e-05,1743726724319095910
0.0001418604586589123,-0.0010079339608974481,6.998933268371122e-05,1743726724418898483
-0.0002268860144628445,-0.0023073962609541664,2.539443266467124e-05,1743726724519416273
-0.0007773897151506677,-0.0030641672460319336,-5.7622900430016e-05,1743726724619345654
-0.0008011640212793345,-0.0019142600227216335,-0.00012012127600472026,1743726724719015195
-0.0007770324062213352,1.191029764441703e-06,-0.00015678004650216535,1743726724819015762
-0.0013165754243948259,-0.0017180380103849712,-0.0001929000061185202,1743726724918927329
-0.0019514012337035916,-0.003914562758274187,-0.0002696765771721708,1743726725019022664
-0.0023776976087198946,-0.003537073947750229,-0.00037647046514209135,1743726725118976312
-0.0022397031993765123,-0.0009610065522430688,-0.0004377892790145252,1743726725218962901
