ax,ay,stamp
-0.06115470368432412,-0.023255138374795876,1743726718.8190553
-0.058196800431102994,0.013474788807939947,1743726718.9191873
-0.06963561004613532,0.013438787702036761,1743726719.0192997
-0.03179730647613833,0.006811224100795177,1743726719.1189904
-0.02530270960503154,0.015151314029296465,1743726719.2191935
0.02883198738953325,-0.0038697963471473846,1743726719.3189247
0.0033511851430412416,-0.013439364775171058,1743726719.4190898
0.0022012047545332293,-0.018778714629301266,1743726719.5194323
-0.011108804666760723,0.01192188189499871,1743726719.619154
-0.03461994705974887,0.01300264976231888,1743726719.7191052
-0.08107199704926245,-0.0212026029067987,1743726719.8193688
-0.0461546988544745,0.016344675758352724,1743726719.9191558
-0.057301596832069285,-0.018500570674147163,1743726720.0194175
-0.023836799691977793,-0.004163481957022871,1743726720.1188605
-0.03569190374926711,0.002840744781744932,1743726720.2192504
-0.04119258382845008,-0.0049921038502307715,1743726720.3194501
-0.027059904944637708,-0.01848865919372344,1743726720.4191177
-0.013928711467226622,0.024629854037910646,1743726720.519254
-0.013606269453794784,-0.027601961235092648,1743726720.619234
-0.02387884259957367,-0.0008298998846090553,1743726720.719221
-0.06403642181041437,-0.005478408812747383,1743726720.8188725
-0.04839741200937227,0.028276930117636382,1743726720.9188144
0.018440256775201228,0.017329887694296615,1743726721.0189457
-0.0270873109070693,0.02397828274279081,1743726721.1191556
-0.06018286014108225,0.004778130383146206,1743726721.2194164
-0.04402726044937219,0.005071185231611,1743726721.3192177
-0.05997986103249778,0.0031428474265224092,1743726721.4187849
-0.0399571742483405,0.005279487773846642,1743726721.5193949
-0.0027587188652598437,0.011728177728340866,1743726721.6192222
0.02762868011596626,0.009763030245798391,1743726721.7189672
-0.10082804084117872,0.04346288453392994,1743726721.8193285
-0.059087196779653725,-0.009024876295129871,1743726721.9196477
-0.061521272627626036,-0.004339276038854334,1743726722.0192475
-0.04806528191866675,-0.017340840425616903,1743726722.1189907
-0.035958853783605936,0.021326953830384722,1743726722.2191758
-0.03539512551903449,0.007736383317905288,1743726722.319186
0.06473161339906087,-0.025566514310916486,1743726722.4193249
-0.18466500078187162,0.04029318470426356,1743726722.5196877
-0.042145986981429254,0.0015500218469394473,1743726722.6192358
-0.08025792706957646,0.006196122830085772,1743726722.7191842
0.002148557651635949,0.018109514448682685,1743726722.81921
0.038593967993017286,-0.0013626869913350805,1743726722.9194708
-0.059518472904319594,0.005388029566307399,1743726723.01902
-0.06460121420939524,-0.011983685080928695,1743726723.1188927
-0.06954448770276325,-0.00524075964639724,1743726723.2191367
-0.06961146794378253,-0.008227937553197768,1743726723.3190649
0.08209918207329671,0.014931878259523274,1743726723.4188979
-0.23975101186409373,0.019157460463212483,1743726723.5197725
0.1349762231791516,0.023040429950907135,1743726723.6188836
-0.04080286954549295,-0.01114983458367479,1743726723.7192602
-0.06374229276329454,-0.04632160537206519,1743726723.8189263
-0.02631652625749657,-0.0024900187333688198,1743726723.9190304
-0.031931018477745605,-0.0018956370088937932,1743726724.0189326
0.12146878928540086,0.003161082970668405,1743726724.1194959
-0.03483855820893009,-0.009179980096718238,1743726724.2192018
-0.25087815207596775,0.012258111427219366,1743726724.3190958
0.09886273618557953,-0.005424346474627087,1743726724.4188986
-0.07276891667920346,0.030958988497086597,1743726724.5194163
6.656031731807727,-0.007284833406331836,1743726724.6193457
-0.07473688312289427,-0.004559866750302632,1743726724.7190151
-0.0793408845469904,0.020699357792759956,1743726724.8190157
-0.03280421488264207,0.02455519371213362,1743726724.9189274
-0.023529699678267298,0.024693161101718653,1743726725.0190227
-0.0001474245229128434,-0.0030947301548991143,1743726725.1189764
-0.006904063032629902,-0.029807563268899124,1743726725.218963
0.003458238597471984,0.0032304561106886033,1743726725.3190694
9.837842411323464e-05,0.0268900895980733,1743726725.4196684
