e,e_dot,e_int,time
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5,0.0,0.0,1743726716990794371
0.5000000096409931,3.213664371652195e-08,0.9141304483754168,1743726718819055256
0.5000000519506917,1.7316897249486374e-07,0.9641964495909876,1743726718919187191
0.5000047879638896,1.5927742988234666e-05,0.1001225241987837,1743726719019299657
0.50007252168722,0.00024156578842767415,0.09990675136514744,1743726719118990389
0.5003369190623648,0.0011071036615839525,0.09997448557972623,1743726719219193427
0.5011175461315016,0.0034834148142718715,0.10006887414214641,1743726719318924606
0.5030452518060168,0.009027775812173363,0.10024806285409149,1743726719419089901
0.5059459361558062,0.01609463341434858,0.10092952466446753,1743726719519432402
0.5087175834150491,0.01890777203010785,0.10121297266363932,1743726719619153921
0.5113368236556348,0.01796962499942878,0.10156698809701332,1743726719719105335
0.5141303480214111,0.01804254868787325,0.10238895147907671,1743726719819368956
0.5172377808080169,0.019669857174606786,0.1028729939819618,1743726719919155890
0.5206958804839843,0.02188510820857729,0.1034960680787943,1743726720019417538
0.5244887230447263,0.02416980745569804,0.10400762701593554,1743726720118860454
0.5285754399872798,0.026265198344318508,0.10482964317725457,1743726720219250372
0.5330018184290356,0.028376984614364442,0.10604952041934974,1743726720319450193
0.5377792541102769,0.030679380409990298,0.10655304342367004,1743726720419117711
0.5429089615941309,0.03302381055031778,0.10747377768900343,1743726720519253951
0.5484062691210736,0.035423383369322194,0.10866948015977042,1743726720619234060
0.5542888632796398,0.037933005618362804,0.10968893614233328,1743726720719221130
0.5605802061929923,0.040579790239729054,0.11068459567691272,1743726720818872556
0.5672823943041212,0.04331177008160473,0.11191540575534364,1743726720918814463
