x,y,v,w,stamp
4.869273680263584e-09,7.793491566304548e-18,2.5057371321352567e-08,1.0658336415587395e-08,1743781710.2609942
0.00346774629150004,8.452113700223843e-10,0.03488577006136682,2.421798575360191e-06,1743781710.4609995
0.01733934759770523,9.31849500121138e-09,0.1414543079203632,3.7434781286651878e-06,1743781710.5607388
0.0320954369200629,1.8538171164470295e-08,0.1514184258379531,1.4333269671487094e-07,1743781710.6605906
0.05915293784075368,3.889740891089713e-08,0.18359489380177574,1.618669389697525e-06,1743781710.7611184
0.08535173837020765,6.774063378307914e-08,0.2688717514802285,3.0324523483145623e-06,1743781710.8606155
0.11051290721140734,1.2831439337104412e-07,0.25618991131034036,1.330265843322168e-05,1743781710.9607544
0.1363645592516069,2.1973929333246965e-07,0.2656483513229663,1.1602391328516295e-05,1743781711.060809
0.1609332339961218,9.701442731471704e-08,0.2512250374390602,-8.724019257092223e-05,1743781711.1609318
0.18562438553867422,-2.43104854422359e-07,0.25326960728723874,-9.005852977687832e-05,1743781711.261025
0.21051442397986397,-8.480939027590767e-07,0.2546514224015018,-0.00010774866093311524,1743781711.3615708
0.2356809870780201,-2.0035496438167076e-06,0.2582547760988378,-0.0002217155230219391,1743781711.4607303
0.2611489717243245,-3.836604855995634e-06,0.25720101933843287,-0.0002632054819708471,1743781711.561596
0.28691905195580997,-6.210618386111336e-06,0.26480494062367266,-0.00020703405481453302,1743781711.6608732
0.31300214126339887,-8.489141267742493e-06,0.2661661421200314,4.864032860155705e-05,1743781711.7609289
0.3394003938667399,-9.11510357707457e-06,0.27071995666989007,0.0006526840418119295,1743781711.8604634
0.3661416862316913,-7.761246868970098e-06,0.27332502272462095,0.000759837596109126,1743781711.9604847
0.3932522678958298,-5.086723249089377e-06,0.2752789384648498,0.0004876367980640039,1743781712.0609112
0.4207452167116195,-5.831356607619813e-07,0.2790560822039859,0.0006613440804110297,1743781712.1614015
0.43930422356730564,3.5418006032703283e-06,0.1902179202042964,0.0005990933431135478,1743781712.261088
0.4675092824941065,1.1498279344607064e-05,0.1936360650439452,0.00043263822922192107,1743781712.3606138
0.49617668700499784,2.0399031823088644e-05,0.2914954076922611,0.00014665224993218301,1743781712.4615695
0.5253358974374258,2.9444989915152963e-05,0.3013455515856697,-2.6552656378889373e-06,1743781712.560779
0.5548996903010268,3.994524206462331e-05,0.30350833056119286,0.00046142799429378894,1743781712.6605155
0.5845634993090626,5.2970419885036316e-05,0.30035497482573664,0.0008497203845551312,1743781712.7615604
0.61444826417546,6.682975012271962e-05,0.3099779961357233,0.00025584470001909605,1743781712.8617342
0.6450308745210023,8.1385647785672e-05,0.3169138429860687,0.0001263645970684842,1743781712.9606783
0.6764736488806959,0.00010734760872905237,0.3190538726925121,0.0035488118290634254,1743781713.0610569
0.7086935460039762,0.00015038531010283312,0.32962141132597483,0.005218090045091477,1743781713.1605942
0.7415906256092248,0.0002034553417570145,0.335963467633741,0.002833617472045666,1743781713.2603402
0.7751287894742832,0.00026187689924829006,0.3409053237669593,0.0013084813762079099,1743781713.3607664
0.8093597529476152,0.00032443140382951434,0.34988499269630674,0.0008737326491277949,1743781713.4608688
0.8443330804815635,0.00038893022244626367,0.3570066077359287,0.0001715361289453603,1743781713.560617
0.88007339472881,0.0004516220450373616,0.3648838786325695,-0.0009202235289327191,1743781713.6604931
0.91663016642977,0.0005098633836639769,0.3706793675868675,-0.0016316695492391375,1743781713.7609122
0.9414677160953685,0.000546946749757341,0.25304684621650925,-0.0010202170435364027,1743781713.8607967
0.9794291033153149,0.0005993743519316452,0.38826807835910826,-0.0011451135962706617,1743781713.9606822
1.0182625080109204,0.0006501958037946734,0.3948310158327513,-0.0007358320275780165,1743781714.0619187
1.058019333051297,0.0007027671373515932,0.4088851412631399,0.0001400531603241439,1743781714.1616447
1.0986370089375133,0.0007596721452561759,0.4189674237070481,0.0008114609231731032,1743781714.2609868
1.1395949119553577,0.0008191809410079115,0.4212265260117221,0.0005341134445676016,1743781714.3606138
1.1716853070525381,0.0008670461942688855,0.32578955427573375,0.00039238145101101437,1743781714.460891
1.2079539124402545,0.0009224882003210432,0.37139820696849424,0.0003796481521850799,1743781714.560666
1.2524985298185858,0.0009956414761356266,0.4523538924697192,0.0011535834575059968,1743781714.6613717
1.2985209217891092,0.0010769390149562138,0.4712550722363319,0.0012720777994547844,1743781714.7611613
1.3453463656692153,0.001162602153220826,0.47806475575816676,0.0006425467865092036,1743781714.8617647
1.3924977809904286,0.0012510435345204518,0.4881658894080242,0.00047908413209692244,1743781714.9605222
1.4401821649859488,0.0013447695401194524,0.4879590435017712,0.000919545908124914,1743781715.0603492
1.489510000663823,0.0014465045498003076,0.5011878979316486,0.0009842949310078569,1743781715.1610918
1.5406949648878305,0.0015556195798410667,0.523215509847802,0.0007089253147383594,1743781715.2611113
1.5755635224514148,0.001631459734270039,0.3574021544313956,0.00044331803979856906,1743781715.3606288
1.6289871710351325,0.001749876972231852,0.36205502126730194,0.0004237037177597991,1743781715.4609985
1.6837120858345331,0.0018739801966230118,0.3737086230975774,0.0003953480172191927,1743781715.560995
1.7402817225325058,0.0020061232369002497,0.5787843326672553,0.0005662593553641198,1743781715.6605856
1.79854838560939,0.0021841233785183764,0.5941208578414284,0.0073311198185485975,1743781715.7606065
1.856876198571903,0.0024874876701398724,0.5976774006700731,0.02199012679475045,1743781715.8603485
1.9146038305267892,0.0028563136716281937,0.5871365545525441,0.012082763972306652,1743781715.9603918
1.973365540817453,0.003263552081287952,0.5960301684032586,0.005489760225501004,1743781716.0610793
2.035041126118866,0.0037264294573242105,0.6369045686145803,0.005934250440751324,1743781716.1612387
2.099884615773328,0.004239994922186787,0.6645145983526363,0.004252968189103264,1743781716.2607946
2.1671058029480217,0.004777733589795011,0.6862559396091523,0.0008111629531024928,1743781716.3605893
2.236139655251633,0.005324527711427943,0.7016238194620732,-0.0008015667510168938,1743781716.4613996
2.306955585176933,0.005890320509734962,0.7300673654794197,0.0007108615136278113,1743781716.5604548
2.379818071658924,0.006486695365196882,0.742038972127072,0.00198886904615703,1743781716.6604931
2.4548930829029167,0.007117936317831237,0.7662492317384193,0.0022778391249587723,1743781716.760416
2.5321422884584486,0.0077891134717085145,0.7883709438252555,0.0028606070756007945,1743781716.8609087
2.5848334865558815,0.008255010012964165,0.5377880834377065,0.0015670294173972018,1743781716.961096
2.6659167611963457,0.00899350458104123,0.5607496298252977,0.0018981642089491203,1743781717.0604348
2.749653059242956,0.009797894069678632,0.8547301454130896,0.00446674650019354,1743781717.1604915
2.836087772916554,0.010668662411254987,0.8781280789591452,0.004754599887831153,1743781717.26065
2.9244498806265575,0.011764429807349664,0.9049616252518516,0.02382289514810866,1743781717.3607526
3.0123774633430584,0.013455700727615568,0.8934233433209408,0.06940852229308381,1743781717.4612818
3.100991660877667,0.01557169683196682,0.9100943716734206,0.047658745770010766,1743781717.5605972
3.1929748153001025,0.01808827905302839,0.9371691319321426,0.03542362253125361,1743781717.6611423
3.289940804081061,0.02114839837277096,0.9961011338978442,0.04308146460583219,1743781717.760802
3.385389389441249,0.02460582074789505,0.9763659272402709,0.04762503184034824,1743781717.8607428
3.4704277034823128,0.028081934040711153,0.8670804191793968,0.047345279514052374,1743781717.9611983
3.545057318294537,0.031480014069440024,0.7669726356701447,0.04770688957770232,1743781718.0608444
3.609280527170807,0.03470333327469431,0.6605408475281903,0.04772517591061,1743781718.160456
3.6635958536842708,0.03801899060801322,0.5552437870541642,0.11042034639512507,1743781718.2604234
3.7142881003753248,0.043605639827368405,0.5189197580575616,0.4964950852302697,1743781718.361136
3.7645497206492595,0.05224721230005555,0.5230927185164069,0.6205724471446527,1743781718.460372
3.797779124490694,0.05944138402286406,0.3442792366962146,0.4348390890004782,1743781718.5612442
3.847002281168302,0.07274109462060734,0.3487597718994996,0.4467902910804425,1743781718.660941
3.8950188899408564,0.0899254804072944,0.5207765020530053,0.6665323790213652,1743781718.76208
3.9418467826829158,0.11012551318735572,0.5313659889482435,0.6623493980100166,1743781718.8604243
