ax,ay,stamp
0.05218030120736951,-0.004834532993553603,1743779916.3920045
-0.04139602937841911,-0.0009625293529268225,1743779916.69064
-0.0545065941590199,0.01521569249458338,1743779916.7913706
-0.051135261718841876,-0.018058825099514234,1743779916.8915896
-0.054236191838794245,-0.01042951805224573,1743779916.9916039
-0.05534443551151271,-0.02136129498205414,1743779917.0912824
-0.012695102422079546,-0.0029286661989203263,1743779917.1923587
-0.041513161446567984,-0.010203632912069199,1743779917.2913265
-0.06927980211134233,-0.03186327693776484,1743779917.3913825
-0.2376203670231085,0.0002589093921543925,1743779917.4907696
-0.278176188486145,-0.0281721851607573,1743779917.5909572
-0.28734669245680877,-0.021654769329085825,1743779917.6912324
-0.04637978385336288,0.003483963528252956,1743779917.7912817
-0.05463126579893961,-0.00284541209889227,1743779917.8908753
-0.0012801640263730082,0.007318104365545071,1743779917.9911582
-0.04512980443668569,0.023218559979819108,1743779918.091273
-0.014079372028260907,0.005420804527285767,1743779918.19105
-0.08744420616577357,0.0028415506185745123,1743779918.2909842
-0.08716010569120757,0.010315323449850453,1743779918.391183
-0.051433468442030054,-0.03628917993688282,1743779918.4910839
-0.05884289037829251,0.008058258656308659,1743779918.5916743
-0.046447107967931445,0.008394931266527288,1743779918.69136
-0.04174045952541097,-0.011932448024125073,1743779918.7907872
-0.0758407325055439,-0.012351686786621463,1743779918.8911293
-0.08660166042484978,0.03562908325835658,1743779918.9918807
-0.013265166415351061,0.03249725270390979,1743779919.0915146
-0.03972230852942264,-0.006718376055102629,1743779919.1910667
-0.030758859562662198,0.010517126791640912,1743779919.2928183
-0.008237141846123222,-0.021335440858179247,1743779919.3909948
-0.009802550623078483,-0.016891839131879784,1743779919.4914653
-0.14209223746042546,-0.01643097373030737,1743779919.5913258
-0.16330658509585871,0.013784001003574149,1743779919.6910152
-0.031729567946570184,-0.004077015171394569,1743779919.790735
-0.09083877030427259,0.004925242300535156,1743779919.8915226
-0.021364500005563336,0.014513325820296893,1743779919.9908621
-0.1615626954897229,0.019934744818455506,1743779920.0911016
-0.06725734740263258,-0.028487430666066755,1743779920.1911023
-0.1422863101481954,0.004077816150273516,1743779920.290725
-0.048988623036644315,0.012803669084166554,1743779920.3911614
-0.02627676164357427,0.018128639172176816,1743779920.491438
0.060481396719806,0.0035949247827994297,1743779920.5907454
-0.1589256006547536,0.012431367840043412,1743779920.6910062
-0.20294235838260574,0.020974989610711935,1743779920.7912405
-0.05506753335821622,0.007939750827570423,1743779920.890765
-0.18165850687432117,0.002170895281506463,1743779920.9912193
-0.0773439172498639,-0.006948618688802921,1743779921.0909638
-0.07407610298165743,0.008899705927908062,1743779921.1909134
-0.07188781584903106,0.0034673519302884396,1743779921.29076
-0.02018326135877398,0.0007679568601546656,1743779921.3910875
-0.03656611065164426,0.005751520110971563,1743779921.4917617
0.06274965300750168,-0.007606369481657277,1743779921.5909402
-0.21974616280752066,0.007041106002729172,1743779921.6910124
-0.06957905371275896,0.026514322144077843,1743779921.7912323
-0.18821235478128598,-0.007433811886643594,1743779921.8910983
-0.09023967694182199,0.008393325028844038,1743779921.9908369
-0.12463727252148185,0.01529333815380755,1743779922.0908623
-0.06280564813599344,0.02325587191571527,1743779922.191114
-0.3133991996663565,0.00672542114974938,1743779922.2910876
-0.0822560013290836,-0.0145365532607404,1743779922.3910692
-0.020793738155884884,-0.02629051540987985,1743779922.491002
-0.05433033432800059,-0.008221592582819012,1743779922.59106
-0.009647027886113217,-0.013097858371668662,1743779922.6912544
-0.01942855118497885,0.0320332990168587,1743779922.7915866
3.1305748411318497,-0.013627200459708198,1743779922.8906884
