e,e_dot,e_int,time
2.662698940134715e-08,8.875663133782382e-08,2.9233215603443707e-09,1743727244228081519
2.662698940134715e-08,8.875663133782382e-08,5.8466431206887414e-09,1743727244228081519
1.1967135828488605e-06,3.9002886448250444e-06,8.325970304812119e-08,1743727244427909992
-6.406135829127604e-05,-0.00021362661760225793,-6.2858989488519434e-06,1743727244528181642
-0.00019390280465378905,-0.0006503317274554597,-1.7098815985499213e-05,1743727244627687838
-0.00035496325544651515,-0.0009696729905174636,-4.074983604228403e-05,1743727244727633493
-0.0008237789586075712,-0.0020995871798459406,-9.170628421369306e-05,1743727244828117555
-0.001301817960542454,-0.003156182350319796,-0.00016538730384757952,1743727244927653600
-0.0011953416271946835,-0.0012385422286237077,-0.0002232563670309371,1743727245029798222
-0.0008605844599944254,0.001470778335160095,-0.0002242703117225647,1743727245128029485
-0.0009617084611968399,0.0007787772199928121,-0.00020177370758547695,1743727245230392798
-0.0013614469344033287,-0.0016695415813630105,-0.00021247868244799652,1743727245328245607
-0.0017160238838030094,-0.002514384742020565,-0.00026560104956525015,1743727245427661375
-0.0015440230217346749,-0.000608586957771154,-0.00030758959670067773,1743727245527914550
-0.0009249707469545375,0.0026368437894949063,-0.0002791569236597582,1743727245627773021
-0.0007637032853235089,0.0026010657880372197,-0.000215281310530347,1743727245727699411
-0.0005449225783708093,0.0012668272286124273,-0.00014887846565690753,1743727245827735447
-0.00013941119531353912,0.002080973633366566,-9.653573491075734e-05,1743727245927699268
0.0002717220122968778,0.0027221486355589568,-2.7519479767381695e-05,1743727246027822907
0.00020577282987649089,0.0011506134173000998,2.2534380258649226e-05,1743727246127659075
0.0006154798766900072,0.0011458595479770979,7.338980658671202e-05,1743727246229263449
0.0009887035790267463,0.002609769163834185,0.00012063615596939654,1743727246327613334
0.0013762535597981991,0.0025359122770273065,0.0001970523821031012,1743727246427609243
0.0017701058631459095,0.00260467428039721,0.0002758977645967468,1743727246527777949
0.0021232838028201403,0.0024901008100731373,0.00035170473649526066,1743727246627834223
0.0022055795322801887,0.0014515788971142642,0.00040654343193006554,1743727246727751134
0.002286361738870828,0.0005435931201689589,0.0004412876161516338,1743727246827957852
0.0018574944950035205,-0.0011602834575888939,0.00042320855480591665,1743727246927709951
0.001192582648423072,-0.00364593030149252,0.000355372375732771,1743727247027738483
