x,y,th,stamp
0.0005546031426404288,0.0,-1.0935515605463914e-09,1743735388.5892062
0.003246183874853964,-2.349025066962789e-12,-3.2270831812816867e-09,1743735388.688252
0.008909511271670206,-1.6940086198748233e-11,-1.925293517868977e-09,1743735388.9889464
0.01847182257855872,-3.4736366543398994e-11,2.2994557196444122e-09,1743735389.0890005
0.032288603538848895,-2.4231850327502012e-11,1.6293400761202244e-06,1743735389.188317
0.05311305400595671,2.1176552314146376e-08,1.0812485544145604e-06,1743735389.2879202
0.07932092147629394,4.400147946943029e-08,4.121419397376563e-06,1743735389.387569
0.11208692178155427,1.3804138574563535e-07,1.1031763390374851e-06,1743735389.488239
0.14911352715650655,1.8298874978185573e-07,1.158880104240206e-07,1743735389.5883548
0.18745690872809434,2.0042464773337858e-07,1.3078111591646432e-06,1743735389.6880212
0.22843107510690513,2.5212807915588073e-07,-2.504735088356108e-06,1743735389.7882793
0.2714254516632048,1.8089162682024013e-07,-4.78350004847321e-06,1743735389.8883169
0.31596478212774404,1.785624582496494e-08,-5.221911892252984e-06,1743735389.98895
0.361689428281266,-1.7782367693738059e-07,-5.080930264626687e-06,1743735390.0877604
0.40839541018318326,-3.8225089199285605e-07,-6.672598487382952e-06,1743735390.2883544
0.4552664865688809,-6.59752922398742e-07,-6.812832261216927e-06,1743735390.3882701
0.5030308746387392,-9.550296461621472e-07,-6.799213481975836e-06,1743735390.488144
0.5507007087212922,-1.2572226690162753e-06,-6.039918789283881e-06,1743735390.5877304
0.6030766860561066,-1.5492168154838117e-06,-5.83443826302792e-06,1743735390.6884315
0.6547117127197583,-1.8351991033127875e-06,-3.946930151939071e-06,1743735390.7879565
0.7033919057146466,-2.029030043022333e-06,-3.442892872939361e-07,1743735390.8878217
0.7512258201620938,-2.053205884408494e-06,3.453143503390795e-06,1743735390.9893916
0.7985532144317108,-1.901105430208069e-06,1.0534140103417204e-06,1743735391.0905795
0.8451922620533449,-1.8553971323843842e-06,8.319059405236846e-07,1743735391.187954
0.8920518079252475,-1.8200971444072593e-06,4.807107716608037e-07,1743735391.2882724
0.9391963451537854,-1.8006693240788519e-06,-8.802242980769946e-07,1743735391.3879542
0.986011330776307,-1.8428366018990203e-06,-2.60471417804004e-06,1743735391.4877958
1.0325205360793641,-1.9634672811712215e-06,-1.8396625280205278e-06,1743735391.5880861
1.0790629977139692,-2.048863970768294e-06,-5.009542890785345e-07,1743735391.6887426
1.1253194121086798,-2.0723953293581926e-06,-3.7928777246463153e-07,1743735391.7885885
1.1710111297090495,-2.0898978065216113e-06,-2.0160991119883533e-07,1743735391.8876162
1.2171557055202387,-2.098975792644206e-06,7.282976527788581e-07,1743735391.9885695
1.2631349935963645,-2.0645824599032697e-06,8.105911806588041e-07,1743735392.0880153
1.3086314952113185,-2.0264548031292577e-06,9.681175283472396e-08,1743735392.1882937
1.3535440138969432,-2.0219650743474754e-06,4.667177852238484e-07,1743735392.2882304
1.3986215365892287,-2.000051908407495e-06,5.949163744088713e-07,1743735392.387661
1.4431776505349636,-1.973967112731443e-06,2.0000071753937716e-07,1743735392.4883368
1.4877860864811148,-1.9655792960176646e-06,-1.6959806081896989e-07,1743735392.5886118
1.5324725813837328,-1.9735520806280265e-06,3.257473984132113e-08,1743735392.6888967
1.5770785372048888,-1.9725726948639984e-06,8.178727489052689e-08,1743735392.7883124
1.621711232849242,-1.9693703870996547e-06,5.1269996047658746e-08,1743735392.8879488
1.666314003921289,-1.9680052547492564e-06,3.262521989768382e-07,1743735392.9879177
1.7109405235826207,-1.9543530357071923e-06,7.200565306295444e-07,1743735393.0884488
1.755555147973398,-1.923547825744775e-06,6.650120403668954e-07,1743735393.1895404
1.8002105270157633,-1.8953672308118017e-06,4.4396897512743104e-07,1743735393.287655
1.8450710993761574,-1.8762527058071648e-06,5.951580643294818e-07,1743735393.3880806
1.8900468013631482,-1.8506738578206837e-06,8.640004211898021e-07,1743735393.488054
1.935176048876369,-1.8135326058901477e-06,9.117400274723194e-07,1743735393.5880847
1.9803250307066245,-1.7751433088625967e-06,1.097281385358557e-06,1743735393.687944
2.025625331503403,-1.7288265679765403e-06,1.2636183562177872e-06,1743735393.7895164
2.0712431260167956,-1.674806373831636e-06,1.265680673034154e-06,1743735393.8885853
2.1171111050181315,-1.6203189525502854e-06,8.392965751607529e-07,1743735393.9879322
2.163371266860952,-1.581880734144455e-06,5.898263728692145e-07,1743735394.088359
2.2098126360754975,-1.5567731521778493e-06,2.682457198467143e-07,1743735394.1884823
2.256658794842639,-1.5434489709462117e-06,2.578033111029483e-08,1743735394.2880661
2.3038560280402742,-1.5395819563772973e-06,6.000139254712986e-07,1743735394.388151
2.351443175948012,-1.5105032089062968e-06,1.020606502352573e-06,1743735394.488022
2.3994208301755937,-1.4640754001116398e-06,1.9349735757590496e-06,1743735394.5884035
2.4478040013884312,-1.376717559189209e-06,2.8908697610819488e-06,1743735394.688072
2.49664431766475,-1.2463535457972865e-06,3.09353693353054e-06,1743735394.788079
2.545965531974532,-1.1055440066023946e-06,2.644464197232708e-06,1743735394.888099
2.595848965361567,-9.82166287487012e-07,2.0912470138103324e-06,1743735394.9885104
2.646374512597527,-8.788721652735962e-07,1.2353532484546431e-06,1743735395.0877025
2.697432375876313,-8.162695958395976e-07,1.8608697721702374e-06,1743735395.1880124
2.7461944274297907,-5.002416384191684e-07,0.0004903027329321915,1743735395.2877166
2.774625720688491,2.071124879836924e-05,0.04966463164767185,1743735395.38843
2.8533060763682765,0.002478439706013951,0.09008950217500619,1743735395.4880416
2.9347343531005383,0.007416756275528021,0.11431195348376001,1743735395.5882492
3.010009656674098,0.014100371065417623,0.14894777097209785,1743735395.6884282
3.0730827205017492,0.022726005136213905,0.18917591025017008,1743735395.7885864
3.1352575422431563,0.03355905227595437,0.20761008389913793,1743735395.8881485
3.1982454017875854,0.045903130788742925,0.22329904664726688,1743735395.9880407
3.260587795619256,0.059224026452918084,0.2396010500064284,1743735396.088262
3.3298414258107747,0.07459451101365673,0.25945210530098334,1743735396.1897423
3.3902930112495584,0.09055349382436491,0.26763414102262184,1743735396.288424
3.4587467089344943,0.10822048494893903,0.28552368403107425,1743735396.3888543
3.5301778360951284,0.12765205740958402,0.3079282673853967,1743735396.487671
3.594831232482939,0.1471786275962566,0.3268353032402474,1743735396.5897408
3.6569448991176285,0.16798123027662798,0.3363304361282914,1743735396.6890216
3.7199286500233044,0.18959057359487114,0.35629175890286735,1743735396.7900262
3.7423754288910733,0.21555305173277928,0.37694190789289705,1743735396.888256
3.7932146283385273,0.23696533702161854,0.4414264375134431,1743735396.9879532
3.8696148622264275,0.2691775651546422,0.49407678307638314,1743735397.0883408
3.894687628758898,0.2904974456060429,0.5464016231918919,1743735397.1878083
3.956915946635729,0.3259312902276513,0.5990848957992293,1743735397.2882843
4.013901706487695,0.36350687689531586,0.6501770147197043,1743735397.3883657
4.090027785262745,0.41341102135913216,0.6884320333581357,1743735397.4875374
4.148617479542703,0.4600209746762836,0.7261391187541855,1743735397.588047
4.2062227867718684,0.5099773655638528,0.7521250402312468,1743735397.6886132
4.252733885093269,0.5642655064454521,0.7716473421397763,1743735397.7879596
4.298234109224355,0.6194599256021234,0.7922799569001653,1743735397.8881433
4.361639267212846,0.6788164191649011,0.8174785674180565,1743735397.9883537
4.413463107483182,0.7330862188632581,0.8369912052309731,1743735398.087703
4.460194655456641,0.785483538918505,0.8944759277259429,1743735398.1882052
4.505209332354744,0.8421482427737935,0.9375404117565189,1743735398.2892425
4.548382716232259,0.9012826970493475,0.9836108598603664,1743735398.3877528
4.5875074170407295,0.9606562322871265,1.0368240941241582,1743735398.4877036
4.624462020759507,1.0227678888193326,1.0895116749634208,1743735398.5880134
4.690950164194542,1.1518096883941178,1.1409754448617782,1743735398.688774
4.724628515202574,1.2058702268760133,1.1044299106600368,1743735398.7880676
4.743964498353373,1.2534501810034797,0.9744148261469027,1743735398.8882918
4.797429607526217,1.3294007295450327,0.902877855089011,1743735398.988154
4.849400886872939,1.393048228817436,0.9209919974450796,1743735399.0891623
4.8958612375034924,1.4512797187533963,0.9373140815343319,1743735399.1884468
4.9459684723988415,1.4881111159217018,0.9761716901767553,1743735399.2889533
4.98404126264049,1.5438644743980985,1.067069579980674,1743735399.388368
5.024638071882227,1.6153151824149017,1.1456222294905936,1743735399.4882028
5.059141118386458,1.6887517583522056,1.2349616418176579,1743735399.5888176
5.088145757983347,1.7672052672837892,1.282668805757126,1743735399.6879475
5.110543714451862,1.845037969496935,1.328309263276379,1743735399.7899349
5.132617300753077,1.9292148040687722,1.3871609989372955,1743735399.8882527
5.14869535832128,2.0137924443181556,1.4373306920079278,1743735399.9884264
5.160559969622925,2.0985766288012186,1.4800683503280831,1743735400.0881445
5.172836038583425,2.1854751601578286,1.5221820326402207,1743735400.1882854
5.178091899191428,2.274120723890963,1.565944958740709,1743735400.2880886
5.180362501043795,2.366900883780465,1.6131328129834483,1743735400.3884559
5.176985151259182,2.453325472433745,1.6579500268307497,1743735400.4881692
5.169552838122834,2.5382420938197083,1.702182542749053,1743735400.5887341
5.15833963052436,2.6247686628225297,1.7473464318887362,1743735400.6880913
5.143155730626674,2.706942717343964,1.790734132239387,1743735400.7887247
5.124040451597008,2.7879687217310045,1.8310797597679302,1743735400.8882809
5.123501920276941,2.8569898961571334,1.8701632009048683,1743735400.9889402
5.09970168691613,2.9319122674043556,1.9284667520257672,1743735401.0878744
5.071977307868564,3.0057995471073617,1.9756590001285932,1743735401.188877
5.040446030412776,3.0818585717675386,2.035320181900958,1743735401.2885811
5.003833519082787,3.157516311289509,2.09197077735631,1743735401.3881996
4.9670615438688746,3.221114211944111,2.151440425037843,1743735401.4882996
4.922913397527016,3.288463045353937,2.2032865749017256,1743735401.588064
4.875181913733355,3.3547168728600187,2.259629966622958,1743735401.6877372
4.834864169259874,3.413917073046448,2.3075164186721513,1743735401.7882807
4.792262505459679,3.471085632875573,2.3531276771765346,1743735401.8889935
