x,y,th,stamp
8.014356897845962e-09,0.0,-6.948593852680863e-09,"builtin_interfaces.msg.Time(sec=1743728677, nanosec=25761057)"
-2.586940676101611e-07,9.940993650784411e-15,-2.0850950874959733e-08,"builtin_interfaces.msg.Time(sec=1743728677, nanosec=125188643)"
0.00018220872157933396,-2.316552732965307e-12,1.2736359394517369e-08,"builtin_interfaces.msg.Time(sec=1743728677, nanosec=426241391)"
0.0009528153965338809,9.846700822317487e-11,8.898287981823913e-05,"builtin_interfaces.msg.Time(sec=1743728677, nanosec=627353328)"
0.0021315112631717444,6.178020425673591e-08,0.008582831302728685,"builtin_interfaces.msg.Time(sec=1743728677, nanosec=725147078)"
0.0043750142328083785,1.0198458371293813e-05,0.015922983509879737,"builtin_interfaces.msg.Time(sec=1743728677, nanosec=824949480)"
0.006912023854494553,3.791762685524609e-05,0.023632989969212446,"builtin_interfaces.msg.Time(sec=1743728677, nanosec=926220350)"
0.010103134518641895,9.164744396349556e-05,0.031520501313309975,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=25212625)"
0.014529925006253743,0.00019007657113236342,0.03936668683615125,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=125024192)"
0.019105832490075372,0.00032987723990672845,0.044799239164780034,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=225334444)"
0.02382229813737349,0.0005044177799553253,0.05087857217747944,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=325417665)"
0.028513166289222895,0.0007093932979479456,0.05470860420470172,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=425045991)"
0.03442930316877766,0.0009787629569670882,0.057405445576616115,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=525830636)"
0.040733252690831744,0.00128693919912029,0.06010695006215436,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=625539875)"
0.04821148738070101,0.0016728344033302921,0.062244800204068036,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=725004293)"
0.05586887828255079,0.002091584635645253,0.06427451941882895,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=825002476)"
0.06322646539821945,0.0025168475516547874,0.06635850818745855,"builtin_interfaces.msg.Time(sec=1743728678, nanosec=925205608)"
0.07157184241817235,0.0030125756665532887,0.06835003570167063,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=24975053)"
0.08083796291490991,0.003586329796280928,0.07078600608307414,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=125162768)"
0.09042929041741882,0.004202577926750103,0.07356637345912674,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=225096455)"
0.10175900283323706,0.004938790655577801,0.07642419194857515,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=324989143)"
0.11206321914344748,0.005665837521304096,0.0896760825716087,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=425013492)"
0.1223308596575143,0.0064866139620802345,0.09961779198056979,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=524993635)"
0.13210699605823564,0.007395946740152649,0.11209295268880583,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=625042482)"
0.14403182520487604,0.008525763378677729,0.10905824862398358,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=725270321)"
0.15546968477745843,0.00964469814522626,0.11038744875501212,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=825046807)"
0.17172557161132007,0.011253181394137186,0.11796818594333913,"builtin_interfaces.msg.Time(sec=1743728679, nanosec=925884240)"
0.18548260790609525,0.01271371827190994,0.12133410440713392,"builtin_interfaces.msg.Time(sec=1743728680, nanosec=25802886)"
0.19844120699081896,0.014154732253308927,0.12052755541928321,"builtin_interfaces.msg.Time(sec=1743728680, nanosec=124959111)"
0.21213836579383252,0.01564495905419866,0.12293495965946348,"builtin_interfaces.msg.Time(sec=1743728680, nanosec=225093788)"
