e,e_dot,e_int,time
9.219443999650986,-0.00033485880633676857,2.1467323457462095,1743712298127697045
9.219443999650986,-0.00033485880633676857,2.1467245486707136,1743712298127697045
9.21722586607352,-0.0073937785915549155,2.760728413854774,1743712298427167364
9.209971599081582,-0.03157466856468005,3.686223700136401,1743712298527697570
9.195728933702826,-0.071656441235645,1.8406778522332128,1743712298627074987
9.172299790745372,-0.12557269445403327,1.83726565857578,1743712298727559667
9.139079583360651,-0.18883116780724998,1.8386434286129076,1743712298827602437
9.096966906203631,-0.25110961513913566,1.8202502376101888,1743712298926796449
9.049192181672678,-0.29962467229324236,1.812473684264197,1743712299026883122
8.999242320924242,-0.3257486175979629,1.8206503427872158,1743712299128007363
8.94913744360261,-0.33351579356689715,1.7985392855594944,1743712299226738793
8.898916027644239,-0.3344209776000125,1.780045442397214,1743712299326915155
8.848689833594056,-0.33482536669517654,1.7865451631695959,1743712299427498692
8.79848967051001,-0.3347545237807618,1.7701514763017436,1743712299526961690
8.747908804625297,-0.335936763229198,1.756357234041724,1743712299627121881
8.69702571656999,-0.3382131798000702,1.7497977248678056,1743712299726988681
8.646285291192758,-0.33874504477513057,1.7418445729456968,1743712299827401276
8.596508312911356,-0.33505801219544534,1.740369402957873,1743712299928266421
8.547163713372347,-0.33040525940136806,1.71652809089308,1743712300027075289
8.498020530741286,-0.3282926072335653,1.7000584134812025,1743712300127168082
8.449519775435158,-0.3254797931239632,1.6960792822402027,1743712300226655478
8.401119510381164,-0.323003401200405,1.6868164364784526,1743712300326801883
8.352201854105301,-0.3243930710995239,1.684734548505911,1743712300427196505
8.303861211577797,-0.32419432934455966,1.6707242484504343,1743712300526831265
8.25546679312905,-0.32245020325416834,1.6596352656840005,1743712300627060015
8.205709569890358,-0.32717213895812947,1.6596027999068907,1743712300727873092
8.156971344577544,-0.3283181618383561,1.637757619701946,1743712300826639322
8.108843205698342,-0.32288788064005186,1.6215537477634288,1743712300926661742
8.0612483689085,-0.3190765855634818,1.6211379736671878,1743712301026557164
8.014388039594776,-0.3148505536785547,1.613999092015915,1743712301126872677
7.968334361141269,-0.3097133592240997,1.6072820690218246,1743712301227100005
7.923255435666486,-0.303775346427632,1.5948150754592323,1743712301327008612
7.879272218827266,-0.2968738077133448,1.5843663987495744,1743712301427054857
7.836470077032437,-0.28928452878016486,1.5763327048024065,1743712301527059315
7.794723625992223,-0.2818286427834771,1.5681682411304625,1743712301627157430
7.754002067047491,-0.27489336661648583,1.5604200528219108,1743712301727239814
7.714134448873394,-0.26863059039609577,1.5482795309818749,1743712301826824993
7.674954972688583,-0.26349031452969446,1.540069018945272,1743712301926876369
7.63677849623068,-0.25785317547571296,1.5349899348758196,1743712302026816143
7.599487318520394,-0.2515588472272956,1.5297708785601296,1743712302127184885
7.563067553245159,-0.2457031432850698,1.5220289444424568,1743712302227088965
7.527616580637471,-0.23956912627641103,1.5202497465334113,1743712302328185977
7.490474841628267,-0.2419757053896395,1.5022102233951649,1743712302426663782
7.446809166614073,-0.2693580467446595,1.4904381203652437,1743712302527221550
7.401542293803041,-0.29644182608408914,1.492040083170652,1743712302627037794
7.359304670203313,-0.2916816547025321,1.4808366539816917,1743712302727265622
7.317136256305534,-0.28135345832502284,1.470981184965592,1743712302826917625
7.270270981552023,-0.29677896217096783,1.4608475732161823,1743712302926955796
7.22116609375636,-0.31990054183057853,1.4529336512304623,1743712303026784021
7.171647026281132,-0.3287465175696358,1.443171252275008,1743712303126812554
7.121572457463276,-0.33197878764361494,1.434452094631912,1743712303226806293
7.070984781492409,-0.3355408159624111,1.4251539449969424,1743712303326935235
7.020051285391354,-0.3384039069064067,1.4158280537649952,1743712303427040232
6.969226252714752,-0.3391950959255219,1.4025777593004547,1743712303526730148
6.91836030796739,-0.33896992474654536,1.391780207612855,1743712303626744314
6.867546136186279,-0.33893372176157693,1.387378671573847,1743712303727265412
6.816439777429837,-0.33973510179184413,1.3754338610369718,1743712303827027405
6.765564385760802,-0.33993916808492247,1.3622337463799021,1743712303927108498
6.7149677119899085,-0.3382402181330946,1.3528144940669098,1743712304026980556
6.664698190892385,-0.336220649561391,1.3431832026349713,1743712304127133494
6.614057378350738,-0.3363677787972345,1.3316578467099722,1743712304226791941
6.5637771028792065,-0.3364036267105952,1.3199474043876847,1743712304326696840
6.514347127100192,-0.33236750416848854,1.3122831292755854,1743712304426711354
6.465233515888017,-0.3284786233039642,1.303792097085146,1743712304526835237
