e,e_dot,e_int,time
-0.5880184368830884,-5.277778506969829e-05,-0.1369156718084607,1743712298127697045
-0.5880184368830884,-5.277778506969829e-05,-0.13691690072156357,1743712298127697045
-0.5883689853611199,-0.0011684949267716978,-0.17612906182610688,1743712298427167364
-0.5894966977246145,-0.004927536138420452,-0.23545152502556402,1743712298527697570
-0.5917069200734356,-0.011126449041052311,-0.11791701760782397,1743712298627074987
-0.595285412553947,-0.019295716097774696,-0.11835094096788228,1743712298727559667
-0.5983502896315639,-0.02214456519376092,-0.11933673447263325,1743712298827602437
-0.5837405941904559,0.03848272787830361,-0.11803957789767529,1743712298926796449
-0.5404296488795256,0.19306880250679428,-0.11442169056110962,1743712299026883122
-0.49730139086097713,0.2881306777649291,-0.1087525964961072,1743712299128007363
-0.454111370116034,0.28772759587830543,-0.09938438861604508,1743712299226738793
-0.41152210914759413,0.28593093904461003,-0.09036612188543068,1743712299326915155
-0.3760740418812078,0.2601244274494206,-0.08309502551085922,1743712299427498692
0.8163315013736444,4.092845368404128,0.0019161357561656013,1743712299526961690
0.8489486018306465,4.083408812372848,0.08578514174648114,1743712299627121881
0.8794517154763537,0.21040071367569765,0.16967168286421563,1743712299726988681
0.9081937631479293,0.19748387105760953,0.17601848909803153,1743712299827401276
0.9281406796520257,0.1622965472522401,0.1822091000870459,1743712299928266421
0.9228187926427256,0.04875009831598757,0.18364373300092462,1743712300027075289
0.8834793388357043,-0.14887113605440483,0.18129480714557097,1743712300127168082
0.8171193271029349,-0.35233155179930237,0.17452738406985616,1743712300226655478
0.7458572270422469,-0.458740372644858,0.16279842963154115,1743712300326801883
0.6739097106622138,-0.47736538813573687,0.14952915627555635,1743712300427196505
0.6102166032682724,-0.45213541257991485,0.1353521177236492,1743712300526831265
0.5620453319418289,-0.372881262401283,0.12299411506883932,1743712300627060015
0.5278620632421432,-0.2745151334204306,0.11393201159179481,1743712300727873092
0.5002784663998607,-0.20588955180656066,0.10578939741869976,1743712300826639322
0.4739053950372698,-0.17985556068291145,0.09952989386833153,1743712300926661742
0.450229860741982,-0.1668286855262624,0.09492190581774525,1743712301026557164
0.4267741065865724,-0.15710429483565805,0.09015560884650514,1743712301126872677
0.4016791752993713,-0.1618356181420357,0.08547691672047081,1743712301227100005
