e,e_dot,e_int,time
0.09283811612718816,6.11106007240847e-05,0.021008391234210198,1743711905983256880
0.09283811612718816,6.11106007240847e-05,0.02100977429162354,1743711905983256880
0.09313437893258414,0.0009875426846532587,0.02778868976915675,1743711906282262965
0.09232693895531344,-0.0017039239062490812,0.03704414238604856,1743711906382583697
0.08836959806555957,-0.01588260289008191,0.018267376690117437,1743711906482394239
0.08274888901557242,-0.031926833132470044,0.01755420183906063,1743711906582483184
0.07659253321778478,-0.03925688282591595,0.0165025622558866,1743711906682254894
0.07049083953599594,-0.04086016493192161,0.015298260563730914,1743711906782171345
0.0654562629306547,-0.03712090095710029,0.01418031137240987,1743711906882410192
0.06205556430653903,-0.028117584098189704,0.013211742130632202,1743711906982346560
0.09116867612515614,0.08570804398167148,0.014576333736642773,1743711907082377727
0.08981164483646356,0.09252026843308175,0.016204540545400468,1743711907182373077
0.08879273993987105,-0.007919787284283627,0.017988945469002263,1743711907282423040
0.08789774629261915,-0.006379661812814704,0.017781261592668338,1743711907382535772
0.08272929811362417,-0.020211472754156263,0.017296019259057938,1743711907482438848
0.0700737499964469,-0.05941332098724083,0.016046851129713356,1743711907582537411
0.05999014291999333,-0.07579718397876949,0.014186141378687567,1743711907682437842
0.0548717820247991,-0.050673226572159336,0.01237121365881137,1743711907783221465
0.04954135027972735,-0.03482930880088659,0.010968233720382706,1743711907882584105
0.04600062045033863,-0.029570538581534894,0.01000448096732621,1743711907982760685
0.07845617273334611,0.09638274151206254,0.011610400682599666,1743711908082765563
0.07891497184392506,0.10971450464528808,0.013523661881751635,1743711908182252417
0.07900157090177523,0.0018179938947637346,0.015709686017719694,1743711908282150073
0.07944532134517056,0.0017678316708183428,0.01583035383484779,1743711908382331152
0.07278460749532581,-0.020723211354831406,0.015418121305258778,1743711908482184947
0.053987214396651884,-0.08486035649506225,0.013750927139914677,1743711908582376506
0.04127005719210186,-0.10504850101074649,0.011211259625239644,1743711908682336118
0.0371201035505041,-0.056223702820492605,0.008810092738307343,1743711908782035082
0.07061294053591893,0.09780961114605691,0.009942404478400854,1743711908882514592
0.0723674584276856,0.11749118292393834,0.012022318843386271,1743711908982295248
0.07826346439309584,0.025501746190589685,0.014749686025307934,1743711909082515882
0.08415352447441676,0.039286886822437195,0.015654622652388865,1743711909182324971
0.08229829671117903,0.01344944106027729,0.01630471344467264,1743711909282397717
0.07349560307462816,-0.03552640466596202,0.016009840186559154,1743711909382491823
0.06912461087640284,-0.04391228611592061,0.014981519254894458,1743711909482223679
0.10230592716791193,0.09603441364427923,0.016354271485738463,1743711909582808597
0.09899892770961696,0.09958105611071373,0.018056576329821574,1743711909682533689
0.09867121614330113,-0.012115703415369328,0.01996633769269797,1743711909782487901
0.10254214509559037,0.011810724619911358,0.020041590398644917,1743711909882807873
0.10106504470387834,0.007979428535257368,0.02018961021534109,1743711909982862223
0.11965194734864065,0.057032674176834275,0.021512855600826716,1743711910082457502
0.10961617935599843,0.028503782173733654,0.02201155234657054,1743711910182765420
0.10783224008800979,-0.039399024202102874,0.022482354770232707,1743711910282537570
0.10683633778314816,-0.009266138576167574,0.021636979673461322,1743711910382931902
0.10429255431176981,-0.011798952587466585,0.02135431330436961,1743711910483386305
0.10429255431176981,-0.008479278237927823,0.010561824364060106,1743711910483386305
0.13190357810058984,0.09203674596273341,0.022672444328129367,1743711910683150161
0.1354652894934436,0.10390911727224598,0.037002013781149624,1743711910782061483
0.13892498702676132,0.023404696420571598,0.027032062114608207,1743711910882749996
0.14291875155780165,0.024844873547860136,0.028027481987918722,1743711910983548727
0.1675038630136506,0.09526291995629765,0.029875214999044043,1743711911082207264
0.16232181781463512,0.06467688752277823,0.03136351646805093,1743711911182579203
0.16203740555128837,-0.0182215248745408,0.032805195970243395,1743711911282294627
0.16768046496435318,0.017862157165726884,0.03273853705361318,1743711911382188327
0.18838999592718653,0.08784196791966052,0.03459404151807297,1743711911482604507
0.186684499327871,0.0633467812117261,0.03624502897593971,1743711911582527513
0.19197756359280566,0.011958558885397097,0.037746173759658025,1743711911682301377
0.21437347217263641,0.092296576149218,0.03951765191929406,1743711911782436201
0.22006370202415698,0.09362046143783775,0.041742558409038726,1743711911882213141
0.22739194718820022,0.043394916718546006,0.04413229177129558,1743711911982483118
0.2416703256624212,0.07202207879421403,0.04604111809554098,1743711912082645804
0.24977719482757366,0.0746174921312448,0.04781191312760298,1743711912182021048
0.25961329891031026,0.05980991082629691,0.050065448596047876,1743711912282624743
0.266480870899541,0.05567892023989107,0.0518717146617996,1743711912382589275
0.27850010379626766,0.06295601628652465,0.05358075036857762,1743711912482405249
0.295189717087579,0.0956961539601268,0.05611043977764057,1743711912582942990
0.29226679197409833,0.04588896059276889,0.057706333491050976,1743711912682321732
0.3089758242010038,0.045953690378082536,0.05959318851440262,1743711912782377525
0.3058830393530795,0.0453874912632705,0.06039760419891764,1743711912882065628
0.3209277411242897,0.03983972307761966,0.06253445641183805,1743711912982854181
0.3130367665553677,0.0238457573409608,0.06276607933445931,1743711913082415396
0.32976277853556846,0.029450124704262597,0.06408104423530797,1743711913182332950
0.3238719189982864,0.03611717480972887,0.06443515652493327,1743711913282385579
0.34451749056638203,0.04918237343604526,0.06660312079622582,1743711913382512206
0.3786403419026406,0.18256140968118081,0.06987062286255104,1743711913482582248
0.36318555372867256,0.06222687720763509,0.07238694639687378,1743711913582412939
0.4032804300086279,0.08213362701995759,0.07626077460225372,1743711913682373585
0.3860110353861972,0.07608493885841543,0.0769180380569688,1743711913782637421
