ax,ay,stamp
-0.06762249162161033,0.007874904741733338,1743773669.1878421
-0.06207858308025434,0.02582684547732114,1743773669.4870956
-0.05026084385385345,1.0370029846100415e-05,1743773669.5873725
-0.07539244676088495,-0.02980524792253774,1743773669.6871324
0.0568010148972133,-0.02601010369291917,1743773669.7875404
0.09053646388732237,-0.0038165366535220964,1743773669.8873596
-0.18296509557569512,0.03737870294717439,1743773669.9874856
-0.03659756613357635,0.011257068384570447,1743773670.0871375
-0.0625496150814235,0.011577796732596329,1743773670.1876316
-0.02369767157099022,-0.01613217423922755,1743773670.287236
-0.07693908974882356,0.03273628955086727,1743773670.3876228
-0.16717311970440477,-0.0055662509436749065,1743773670.4876235
0.047274951858413954,-0.02354288278043279,1743773670.5873709
5.927377924086108,0.047146769499928604,1743773670.6873667
-0.044831845629800735,-0.007130242404950311,1743773670.7876725
-0.02818683613817771,0.003256925198805785,1743773670.887426
-0.03924729583851575,-0.008430769479608248,1743773670.987652
-0.1130363243270236,-0.03293628736394387,1743773671.0882227
0.08649148243638687,-0.03261105554699034,1743773671.1872413
-0.12562016732067427,0.02397735257633402,1743773671.2871635
-0.06129674462543075,-0.010043216396713578,1743773671.3872647
-0.02598173666301196,-0.032610439759524115,1743773671.4874532
-0.10579770774751514,0.0065065097832419875,1743773671.5876102
0.018482626550804012,0.07469149625517639,1743773671.6874418
0.07085482702928533,-0.031238674485978283,1743773671.78818
0.06288724602342691,0.03380888091044145,1743773671.887668
-0.05547415170712819,-0.02179668779122158,1743773671.9872756
-0.04313097348909965,-0.011796456954945567,1743773672.0872498
-0.053536152804068496,-0.0014822735424807245,1743773672.1875339
0.06261110756695608,-0.039836346305613925,1743773672.2879274
0.0884850408517571,-0.04240473174317636,1743773672.3875184
0.07592126166877859,-0.0911199630333067,1743773672.4876077
-0.08325917711663189,-0.06300478564669201,1743773672.5878837
-0.05763949558184275,-0.008149496796522163,1743773672.6872554
0.06224695441878772,-0.017955940574886163,1743773672.7876496
-0.1748720475175365,0.0256352079594167,1743773672.8876674
-0.061187983416864336,-0.02843117409821319,1743773672.9879768
-0.023732300525532362,-0.0028973970907344073,1743773673.0872335
-0.20795371483648215,0.01419322198996572,1743773673.187485
-0.07161284667312694,-0.00968202976399173,1743773673.287413
-0.06010123210340735,-0.041132753448608436,1743773673.3875422
-0.2089770048491999,-0.029486527851051027,1743773673.4872234
-0.24233655894586692,0.04820575713036822,1743773673.587447
-0.07067817071550343,-0.08017709779623206,1743773673.6873188
-0.06039406690719189,-0.04039017893069867,1743773673.7872782
-0.040791262034955866,-0.04532742598201158,1743773673.887266
-0.036008337279129984,-0.06441966553138026,1743773673.987436
-0.14630681885926144,-0.08634656120713063,1743773674.0876737
-0.06655997284217811,-0.058505124163528585,1743773674.1875575
0.14736994701757616,-0.1522599909004273,1743773674.287185
-0.33560630658581864,0.03298721725065222,1743773674.3872867
-0.016036089392627403,-0.08828377606006477,1743773674.4873424
-0.03915030187527613,-0.09608515449364592,1743773674.5873418
-0.13934190749506253,0.09850607617494639,1743773674.6876123
0.09823250088335071,-0.16289090366513365,1743773674.7876422
0.19070592213979703,-0.2562193371648298,1743773674.8871303
-0.02060379521454484,-0.1516056947756172,1743773674.9874637
0.9782639765150202,-0.18905023155965806,1743773675.087205
0.992616937030356,-0.17325849994262035,1743773675.1875324
0.7484540955892371,-0.1589647471470209,1743773675.2875745
0.06907840327305208,-0.16957085315323328,1743773675.3873184
-0.11560112005849302,-0.10548425723577298,1743773675.487255
-0.05602757428106018,-0.17184016459206353,1743773675.5875907
-0.21212532194603,-0.11913325010230168,1743773675.6875029
-0.04768937060648595,-0.16108801225747957,1743773675.7872472
0.051233950692288074,-0.19347317007706158,1743773675.8875587
-0.1971654583801577,-0.1572413091556844,1743773675.9879844
-0.1464031688017262,-0.13463583249456432,1743773676.0872185
-0.07365547294369917,-0.18783899341505386,1743773676.1873872
-0.04390633792555779,-0.18637572652399223,1743773676.2871997
-0.010353353237693687,-0.2953863143132615,1743773676.3872526
-0.03996121098743874,-0.2828267409801039,1743773676.4871197
-0.20698600343896492,-0.029986386721657585,1743773676.5877051
-0.10068920546633764,-0.3042197798386039,1743773676.687585
-0.06102498461206154,-0.23799433726059482,1743773676.787219
-0.08292545583410697,-0.18394326067855749,1743773676.8871608
-0.06525618792578178,-0.2889266370898702,1743773676.987297
-0.07705994111783643,-0.4569439168433685,1743773677.0873082
-0.0016340460155739901,-0.07212994017097857,1743773677.1872683
-0.3951813248081628,-0.362294940400312,1743773677.2874293
-0.03786660664999311,-0.49055413744562165,1743773677.387856
-0.4151606251744836,-0.3767209506345021,1743773677.4874816
-0.1070940588499959,-0.298268296003616,1743773677.5872793
0.34609878705281294,-0.3089788541864961,1743773677.6875675
0.4414893767883638,-0.4132968674095586,1743773677.787165
-0.06652922601759775,-0.37548568959641065,1743773677.8876812
-0.13765659953626924,-0.21621229068429332,1743773677.987442
-0.35979226575087875,-0.31764717333231257,1743773678.0872636
-0.20061068663064635,-0.4461230360714917,1743773678.1873207
-0.6027862885796259,-0.42534639850784417,1743773678.2874842
-0.4367448400658891,-0.272751369042583,1743773678.3874571
0.15722263161220387,-0.5168430194032388,1743773678.4873817
0.035096585790200495,-0.5275443142265488,1743773678.5874295
-0.28967593798052976,-0.21225507607361896,1743773678.6876135
-0.04137479559336942,-0.9233838109304088,1743773678.7872186
-0.047023567211312595,-0.6444919000530773,1743773678.8874156
-0.047890497745633115,-0.5525505670375005,1743773678.9873748
0.07801083111287392,-0.4716797352165,1743773679.0874407
-0.03787741205492155,-0.47962082179267346,1743773679.1872096
-0.07905378957865553,-0.39662738932460123,1743773679.2873652
-0.08227150495177482,-0.33705340075891754,1743773679.3877797
-0.0822937177946283,-0.2893704369681114,1743773679.4875019
-0.12291620510766532,-0.3147975342504014,1743773679.5876148
-0.13323658452569434,-0.37032827333410856,1743773679.6881394
-0.23595156127851408,-0.39649689758752554,1743773679.7874193
0.054194808459147197,-0.48984848806886716,1743773679.8874974
3.8751099910625117,-0.4754310217429871,1743773679.9873564
0.044168997052993014,-0.041384442915753016,1743773680.0872405
0.05801719208326841,-0.13954299183681446,1743773680.1876233
0.17457755156734112,-0.1588255182508472,1743773680.2873116
0.0852185707640507,-0.247404542008124,1743773680.3876197
0.20195398860800606,-0.06879799770066622,1743773680.4872131
0.31610484752112467,-0.08761674620771899,1743773680.5871534
-0.015393272530673444,-0.3684602160891827,1743773680.6872156
0.1948769011656499,-0.1926784458905602,1743773680.7876277
0.18841043959206882,-0.22356611267161158,1743773680.887631
0.13355140905281632,-0.17897057104107428,1743773680.988106
0.08443209380782608,-0.21868577219223842,1743773681.0871105
0.22851330955405438,-0.3056713589412609,1743773681.1873085
-0.48982900897664683,-0.41885065571289914,1743773681.2871156
-0.11035090467947285,-0.3866753229548968,1743773681.38731
-0.2099236902051892,-0.33402443781285596,1743773681.4873576
-0.20657843965503833,-0.29207675408634126,1743773681.587196
-0.17468010467368755,-0.3111634284193094,1743773681.6874962
-0.31014494078346655,-0.20713186970446318,1743773681.7873847
-0.11184075764041779,-0.33049299297599255,1743773681.887505
-0.299530886075129,-0.16125659063942308,1743773681.987426
-0.19638936404654392,-0.19945487610854756,1743773682.0876696
-0.17324829466598196,-0.1819602798518642,1743773682.1875505
-0.1667158999049179,-0.18143876167008033,1743773682.287192
-0.1061666753227585,-0.16004348115044892,1743773682.3874054
-0.01826753758169356,-0.1832920962963324,1743773682.487467
0.06665473399726972,-0.26093031273641937,1743773682.5873432
0.15885890333586186,-0.23315332167222075,1743773682.6872947
0.11346438459996433,-0.36939497545612027,1743773682.7876031
0.33192139329529813,-0.3802742169840814,1743773682.8876538
0.40996106138602934,-0.44917669242642344,1743773682.987318
-0.8617305074994621,1.766556496568548,1743773683.0872457
-0.9945405846759824,-0.319612683807918,1743773683.1873024
-0.9170482153022114,-0.33626214323097764,1743773683.2871845
0.4406621737955509,-0.43495170173402165,1743773683.3872952
0.44113053839952776,-0.4618384458924552,1743773683.4872584
-0.7532989694612048,-0.5725633918525638,1743773683.5874214
0.4327859140098232,-0.7076819266004063,1743773683.6875489
0.4371290016977441,-0.7203829417824456,1743773683.7872615
0.31924902397111193,-0.8388103769849972,1743773683.8872545
0.25449194589374846,-0.8756000149095361,1743773683.9875221
0.14897635864309863,-0.877212646923104,1743773684.0874746
0.2787218769730532,-0.7164557217004844,1743773684.1874278
0.0748996671716703,-0.7030100159961751,1743773684.2878191
0.18612855593621114,-0.6581751102208524,1743773684.3878105
0.03161291940012023,-0.44724687820833364,1743773684.4876337
0.08378270950616701,-0.3210854710741977,1743773684.5872152
0.7105913613015851,-0.3049175547217324,1743773684.6878393
-0.13087700426852114,-0.474286957168254,1743773684.7911913
-0.499984383425291,-0.322677130829809,1743773684.8873007
-0.26877298387369064,-0.28110351313506143,1743773684.9874935
-0.2829041272677324,-0.39155010105728777,1743773685.0872037
-0.27149117868551664,-0.230345026207075,1743773685.1873233
-0.3317635355718573,-0.3196776200957805,1743773685.2872143
-0.360845721668562,-0.23331417015737435,1743773685.3876314
-0.36866477501256534,-0.3037576385383188,1743773685.4881332
-0.36398642691617733,-0.2784907920143696,1743773685.5883272
-0.3249071763196909,-0.31242510973937,1743773685.6882048
-0.29765479955652674,-0.1944389449062707,1743773685.7872455
-0.21240340455944168,-0.2828309690005137,1743773685.887284
-0.22467838026411013,-0.18191925149242025,1743773685.9872558
-0.20033476219913915,-0.04506411156568724,1743773686.088106
-0.15247852337466822,-0.20616822856820644,1743773686.1876237
-0.1087679918306061,-0.1615820282210636,1743773686.2885258
0.0026308920845464524,-0.13065989451602475,1743773686.3874204
0.08620685274749733,-0.11077391376780615,1743773686.48764
0.16444580973762235,-0.20076162685319673,1743773686.5880327
0.18213743135413774,-0.20660956600199198,1743773686.6874893
0.22646197938561385,-0.2736182240950316,1743773686.787494
0.3389082818673754,-0.32335291164539276,1743773686.887135
0.3037321609905952,-0.19353512346383842,1743773686.9871542
0.34704631867711055,-0.09822244356183649,1743773687.0872278
0.3661661213154809,-0.2738513576964389,1743773687.187286
0.3600274066463525,-0.11237780663306512,1743773687.287368
0.2828260104510063,-0.050067823325679654,1743773687.3873808
0.2965577519968424,-0.12769441264528802,1743773687.4872382
0.27938059922937886,-0.1530917100605287,1743773687.588083
0.20571680685022786,-0.07899167817654755,1743773687.687353
0.16671892227997337,-0.10108515184198061,1743773687.7890503
0.13394397252769222,-0.05878084640879405,1743773687.8874602
0.09182394611934303,-0.09585163075323623,1743773687.9874961
0.07363632717978444,-0.165486291230186,1743773688.0872378
0.03384740609175073,-0.09992954743982052,1743773688.1874175
0.05833656828130418,-0.1530027908538937,1743773688.2874534
0.03164129490590767,-0.16282615012817725,1743773688.387442
-0.10856969486306106,-0.11845049892022273,1743773688.4878225
-0.13606614595760363,-0.15087859898184489,1743773688.5872557
-0.153690982367379,-0.11702925362881214,1743773688.6875496
-0.23588949769811468,-0.1306477621511732,1743773688.787523
-0.19322181473743819,-0.1664514506229065,1743773688.8872976
-0.19602110958591926,-0.13193241218417034,1743773688.9873538
-0.20108528948850887,-0.11397208931332363,1743773689.0871928
-0.1954711961579112,-0.0877401914531513,1743773689.1871948
-0.2081485598945756,-0.14365718954655637,1743773689.2871673
-0.1811598780571583,-0.07980042203111797,1743773689.3874028
-0.045232485838838765,-0.08192611464498338,1743773689.4872298
-0.03027703666499333,-0.1255053679677968,1743773689.5874758
0.025554847209500606,-0.09483054445581414,1743773689.6876225
0.09247308687281915,-0.07336907450427842,1743773689.7873523
0.17343349447019157,-0.09732602002888371,1743773689.8874152
0.16392394269493776,-0.07238037954634721,1743773689.9881413
0.14314840451769142,-0.05146569995304456,1743773690.0873997
0.15981202350686646,-0.09741567648564796,1743773690.1872876
0.13183257352101072,-0.1626089785579595,1743773690.2882345
0.21186023213576766,-0.05187873803226813,1743773690.3874025
0.06966081792967946,-0.09877514978107764,1743773690.4875507
0.1527033373491454,-0.13700509360200777,1743773690.5873208
0.17407028063392346,-0.031241882273556898,1743773690.6877894
0.10732158377844331,-0.034674833903113315,1743773690.7882183
0.1308842123989129,-0.001739721563563711,1743773690.8874328
0.057563905699454375,-0.035567234719951914,1743773690.9873695
0.024412789251612388,-0.055413230459424895,1743773691.0872695
-0.01076758224123075,-0.07060038255854227,1743773691.1874456
-0.05336500155230226,-0.06044947799036641,1743773691.2871962
-0.08569900471182756,-0.07012290062279362,1743773691.3874683
-0.1096874572557145,-0.07186991214676887,1743773691.4874454
-0.14814338033383087,-0.07276925504063028,1743773691.5874677
-0.1922838171211273,-0.045685138238859516,1743773691.687153
-0.18351923602736891,-0.054133725379167164,1743773691.7876651
-0.14788635959154606,-0.06719743547315103,1743773691.8876808
-0.158683381055908,-0.10643257285361102,1743773691.987489
-0.12311093951155551,-0.07220095280661822,1743773692.0878735
-0.09662488892718461,-0.06480693413512172,1743773692.1873183
-0.14618081035838038,-0.06596443364564378,1743773692.2877471
0.024871208661729198,-0.048610414377299724,1743773692.3874805
0.043671856078547996,-0.06674395791185085,1743773692.487422
0.07400782875904843,-0.055771003503297986,1743773692.587411
0.10192253444843845,-0.08874403250594255,1743773692.6873765
0.09402526573975789,-0.00817229880421658,1743773692.7873826
0.12876899686394824,-0.05358283789206867,1743773692.887222
0.09592453584810252,-0.05020914130404489,1743773692.9876513
0.0772026274254425,-0.05223904304219623,1743773693.0873473
