x,y,v,w,stamp
0.001213086565106768,-9.985617307872472e-07,0.033446636594527714,2.142489481013758e-05,1743781664.3806598
0.0033359666864304764,-1.9284584283666134e-06,0.06217444697497298,-0.08164791199833242,1743781664.4810019
0.005475421727219204,-7.979455778837976e-06,0.06258750149100763,-0.11035567555119656,1743781664.5816033
0.007614020093881437,-2.1455056763598352e-05,0.062499535421499594,-0.061298158735193384,1743781664.6837878
0.011889205569850904,-6.297957746462644e-05,0.06253316869929289,-0.08541914893810242,1743781664.7805603
0.02174695004726362,-0.00022670723420102444,0.1302096634323413,-0.06597132980323789,1743781664.8804405
0.03582161858305647,-0.0005699788789013152,0.13986813088832312,-0.08933438244460586,1743781664.980938
0.046581105743567226,-0.0009286521903322537,0.07912513009147915,-0.06523301209664303,1743781665.0810242
0.05530943897296387,-0.0012904983734162814,0.08842956800275716,-0.05792591170373929,1743781665.180482
0.06469518363553885,-0.0017435186272759856,0.09757310008202578,-0.047007090079282554,1743781665.2806206
0.07565553071751774,-0.0023350668176740684,0.11622708425928246,-0.04968990526519635,1743781665.3807542
0.08849943616377234,-0.00309394245112587,0.13486899894441381,-0.04774303722430693,1743781665.4811823
0.10171774086455394,-0.003931656102619292,0.12659762225607898,-0.03200150650005148,1743781665.5807877
0.11353932690169871,-0.0047214969575027025,0.11088223166049575,-0.027956706809735284,1743781665.6807709
0.12103706078345784,-0.0052447396282397155,0.11025461762133126,-0.12843110631401003,1743781665.7807105
0.13272106614958912,-0.0061667414655083574,0.12411855956836805,-0.014184912394904443,1743781665.881134
0.14582715363357823,-0.007319876944894889,0.1378536418486387,0.04809586835096164,1743781665.9807115
0.15999580661507062,-0.008635207567883059,0.1402609030633501,-0.08448532970458231,1743781666.0807137
0.17399241455252257,-0.01002785821265385,0.13604638015611847,-0.08894110871004174,1743781666.1809807
0.187790655783523,-0.011487239487442949,0.13572053266589804,-0.059180411189156165,1743781666.2807777
0.2020787937609302,-0.013076339868471116,0.14319783243866513,-0.030440072090677023,1743781666.3805742
0.21721956243364415,-0.01482171895835721,0.1524109771922974,-0.024453451115175474,1743781666.4807951
0.23307929610094635,-0.01670425958372462,0.1581526383180048,-0.0339961986109281,1743781666.580612
0.2494398851712619,-0.018705040201423908,0.16256707624105582,-0.03530817487370101,1743781666.680335
0.26538713384340257,-0.02072575087775508,0.16637928553326495,-0.1585241256063247,1743781666.7807796
0.28258286455248227,-0.02311394686215853,0.17138745421844073,-0.12755456026454529,1743781666.8803785
0.30016695728306353,-0.02577104732637712,0.17759336972884665,-0.030921117345977345,1743781666.9807494
0.31853350034197425,-0.028675452486085586,0.1844977957854463,-0.058949134438985897,1743781667.080509
0.33108716958176787,-0.03073821568911741,0.1892062869263965,-0.07765634948771408,1743781667.1804955
0.3503085179935747,-0.03401545012155354,0.19405764486141996,-0.05605577918309437,1743781667.2809956
0.36997367823899624,-0.03749112576603187,0.19898446949521584,-0.036079420094308604,1743781667.3807416
0.3902244738235807,-0.041159247616403195,0.2060115007622503,-0.03657808645326362,1743781667.4804313
0.41104145005206283,-0.04503666606513813,0.20835185790407448,-0.18323656665562746,1743781667.5807512
0.43194798734802037,-0.049222089612314696,0.20923562968856266,-0.15805559990647783,1743781667.680443
0.45207314355240075,-0.05349558841541953,0.21338230326022412,0.0440972549228,1743781667.7820644
0.4743394149732413,-0.05830489158952624,0.227923393195023,-0.016193773362368234,1743781667.8805363
0.4976096787676957,-0.0635011381388369,0.2360697533174113,-0.06665787212178625,1743781667.981066
0.5216825529941691,-0.06908473336840354,0.2445871751793721,-0.07054624553122998,1743781668.080536
0.5456918044386316,-0.07485238293685241,0.2504055763496946,-0.1672725294662197,1743781668.1803708
0.5708208095738778,-0.08125687401412882,0.25586893103036124,-0.14816373017013507,1743781668.2803757
0.5963495790502487,-0.08815150172233636,0.262661803097837,-0.06798036571783447,1743781668.3808308
0.6223566569114227,-0.09545192041765764,0.26562911927963445,-0.08054601303660003,1743781668.4809113
0.648335922573866,-0.10301597683548555,0.26491536091938017,-0.08547219181863194,1743781668.580856
0.6659792762014154,-0.10829974675842746,0.275987893245979,-0.0972953219758853,1743781668.6812313
0.6939861002214646,-0.11692885398799083,0.2948932689260272,-0.18249008358237914,1743781668.7805367
0.7235914797031623,-0.1265505285477104,0.3102089188809278,-0.14522284536275953,1743781668.8806748
0.7536540228039748,-0.13686919477947504,0.31225957287512257,-0.092309674692459,1743781668.9803972
0.7832845257400275,-0.14745496909186426,0.30617531140499876,-0.13248938884065153,1743781669.0804605
0.8128603451736317,-0.15843597706499657,0.3105143177893106,-0.14355157821969095,1743781669.1802387
0.843018465206921,-0.17014656046578383,0.32729067534645534,-0.24901091517624022,1743781669.2803328
0.8749566325559449,-0.1833123033331897,0.34318302652579386,-0.20027751696253912,1743781669.3805914
0.9079774756254057,-0.1976095169108378,0.35627456780747785,-0.10873314621871062,1743781669.4805095
0.9419298567854116,-0.21286634433276744,0.3681410401937144,-0.14611576944288693,1743781669.5811775
0.9765996537564968,-0.2291234924348864,0.3780920851527254,-0.2352317026766951,1743781669.680287
1.0352575868222504,-0.25859287473938986,0.3891753543246297,-0.15969322947287126,1743781669.8806741
1.0715581843774236,-0.27790521305482235,0.41155403678067554,-0.22389689246516267,1743781669.980971
1.108734826671847,-0.29864579325038204,0.42611112040151905,-0.20567792064542623,1743781670.0802786
1.1466286660995826,-0.3208685925846761,0.43744864440348774,-0.17284034735422157,1743781670.180774
1.1817674581533246,-0.34239677089168186,0.370548512020025,-0.18766230944473597,1743781670.281061
1.2139387583871588,-0.3629681088139356,0.38745704101685546,-0.2192325119271033,1743781670.3807752
